Emotion 1,Emotion 2,Centroid Distance
ANG,SAD,3.8460803101935777
ANG,DIS,2.9986388825912655
ANG,NEU,2.8346240384724886
ANG,FEA,2.6412392734739587
HAP,SAD,2.31912330874993
ANG,HAP,1.5750791050730328
DIS,HAP,1.5198950165627738
HAP,NEU,1.2663202808681884
FEA,SAD,1.2048787685663653
FEA,HAP,1.137170215451989
NEU,SAD,1.0977793470317565
DIS,SAD,0.8673382851584617
DIS,NEU,0.5594585305412116
FEA,NEU,0.41021840880301663
DIS,FEA,0.38556346073209485
