feature,anova_ratio,mi,correlation
zcr,0.06727382496750109,0.03720777022500199,-0.20097587454689642
rms,0.013308495741458787,0.0179308456574776,-0.011279992580803101
centroid,0.05276401445886677,0.01780551814700715,-0.16026328002302412
bandwidth,0.027849501494505265,0.020783663565312693,0.11336567019549798
rolloff,0.02531033284536742,0.01137241929554067,-0.0726789140394058
chroma_mean,0.28978350034308026,0.12858427782522286,0.3199265047820628
mfcc_mean,0.15517136198220008,0.0883547314469566,0.2869887216177375
contrast_mean,0.07803049131250947,0.02661596761675389,-0.1718844226194001
