Feature,MI Score
mfcc1,0.16301584156281637
rms,0.13983122477558668
spectral_contrast_band6,0.11413277140423006
spectral_contrast_band1,0.08730222886203617
zcr,0.08478046872185399
mfcc6,0.049449620293860255
spectral_contrast_band5,0.04910758928903841
centroid,0.045665910888046224
mfcc4,0.03828710652759762
rolloff,0.037600157436739196
spectral_contrast_band2,0.03623894829458052
chroma1,0.03586962205855933
chroma11,0.03554736453038079
chroma2,0.03499043700475943
mfcc2,0.033342723728819135
spectral_contrast_band7,0.0333405173732467
mfcc3,0.03091547820455788
mfcc10,0.030789591572631086
chroma9,0.030163051348513492
spectral_contrast_band3,0.027469937066691222
chroma4,0.027401831744738106
mfcc7,0.027016904941110795
chroma8,0.026270188189894864
chroma12,0.02541936587245147
mfcc8,0.02486020294651732
mfcc12,0.023618204457291278
chroma6,0.023514437536732796
chroma3,0.023174954546465037
mfcc11,0.022913956275648517
mfcc9,0.022638103369925264
spectral_contrast_band4,0.02080252203037984
mfcc13,0.02040934343712761
mfcc5,0.020221407867124078
chroma5,0.019681744137027515
chroma10,0.0181894128089138
chroma7,0.01482599656759323
bandwidth,0.014325762205094156
